<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.08.15	10:00:00	29330.00	29389.00	29308.00	29359.00	253	0	2100
2023.08.15	11:00:00	29359.00	29402.00	29347.00	29373.00	256	0	2100
2023.08.15	12:00:00	29373.00	29400.00	29361.00	29372.00	216	0	2100
2023.08.15	13:00:00	29372.00	29375.00	29345.00	29361.00	232	0	2100
2023.08.15	14:00:00	29361.00	29361.00	29292.00	29297.00	328	0	2100
2023.08.15	15:00:00	29297.00	29355.00	29295.00	29315.00	410	0	2100
2023.08.15	16:00:00	29315.00	29364.00	29310.00	29323.00	368	0	2100
2023.08.15	17:00:00	29323.00	29412.00	29290.00	29405.00	681	0	2100
2023.08.15	18:00:00	29405.00	29452.00	29264.00	29281.00	802	0	2100
2023.08.15	19:00:00	29281.00	29317.00	29210.00	29236.00	569	0	2100
2023.08.15	20:00:00	29236.00	29294.00	29230.00	29293.00	292	0	2100
2023.08.15	21:00:00	29293.00	29310.00	29258.00	29281.00	272	0	2100
2023.08.15	22:00:00	29281.00	29281.00	29040.00	29142.00	1850	0	2100
2023.08.15	23:00:00	29142.00	29187.00	29096.00	29160.00	453	0	2100
2023.08.16	00:00:00	29156.00	29200.00	29139.00	29186.00	234	0	2100
2023.08.16	01:00:00	29186.00	29200.00	29146.00	29147.00	222	0	2100
2023.08.16	02:00:00	29147.00	29177.00	29138.00	29163.00	220	0	2100
2023.08.16	03:00:00	29163.00	29219.00	29159.00	29184.00	222	0	2100
2023.08.16	04:00:00	29184.00	29206.00	29141.00	29204.00	276	0	2100
2023.08.16	05:00:00	29204.00	29214.00	29182.00	29208.00	228	0	2100
2023.08.16	06:00:00	29208.00	29215.00	29174.00	29182.00	217	0	2100
2023.08.16	07:00:00	29182.00	29191.00	29159.00	29159.00	211	0	2100
2023.08.16	08:00:00	29159.00	29165.00	29096.00	29101.00	413	0	2100
2023.08.16	09:00:00	29101.00	29152.00	29072.00	29143.00	437	0	2100
2023.08.16	10:00:00	29143.00	29170.00	29131.00	29153.00	256	0	2100
2023.08.16	11:00:00	29153.00	29164.00	29115.00	29136.00	256	0	2100
2023.08.16	12:00:00	29136.00	29136.00	29058.00	29121.00	528	0	2100
2023.08.16	13:00:00	29121.00	29168.00	29118.00	29155.00	249	0	2100
2023.08.16	14:00:00	29155.00	29155.00	29103.00	29118.00	206	0	2100
2023.08.16	15:00:00	29118.00	29168.00	29007.00	29118.00	1009	0	2100
