<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.08	19:00:00	2032.22	2033.06	2027.07	2027.65	7028	0	5
2024.01.08	20:00:00	2027.65	2028.29	2026.38	2026.58	4861	0	5
2024.01.08	21:00:00	2026.58	2029.55	2026.56	2029.38	2751	0	5
2024.01.08	22:00:00	2029.43	2029.87	2026.12	2027.20	3772	0	5
2024.01.08	23:00:00	2027.20	2028.73	2027.11	2027.99	1638	0	5
2024.01.09	01:00:00	2028.06	2030.88	2027.89	2030.63	1814	0	13
2024.01.09	02:00:00	2030.63	2034.98	2030.60	2034.39	4205	0	5
2024.01.09	03:00:00	2034.39	2035.63	2031.19	2032.26	5812	0	5
2024.01.09	04:00:00	2032.26	2035.88	2032.15	2034.19	4871	0	5
2024.01.09	05:00:00	2034.20	2034.91	2033.00	2033.60	3067	0	5
2024.01.09	06:00:00	2033.60	2034.91	2032.23	2032.86	3019	0	5
2024.01.09	07:00:00	2032.92	2033.51	2030.34	2032.81	3347	0	5
2024.01.09	08:00:00	2032.79	2035.19	2031.23	2033.16	4444	0	5
2024.01.09	09:00:00	2033.16	2037.17	2032.19	2036.07	6352	0	5
2024.01.09	10:00:00	2036.07	2038.24	2031.28	2034.33	8764	0	5
2024.01.09	11:00:00	2034.33	2037.08	2033.16	2035.47	5960	0	5
2024.01.09	12:00:00	2035.47	2038.55	2034.85	2035.41	5872	0	5
2024.01.09	13:00:00	2035.41	2035.73	2033.72	2035.03	4407	0	5
2024.01.09	14:00:00	2035.03	2036.36	2033.97	2036.30	4680	0	5
2024.01.09	15:00:00	2036.31	2041.96	2031.71	2038.71	13777	0	5
2024.01.09	16:00:00	2038.67	2040.12	2033.93	2034.76	16450	0	5
2024.01.09	17:00:00	2034.76	2035.64	2028.73	2028.78	14006	0	5
2024.01.09	18:00:00	2028.78	2031.66	2026.03	2031.27	11789	0	5
2024.01.09	19:00:00	2031.28	2032.08	2027.07	2027.74	7598	0	5
2024.01.09	20:00:00	2027.74	2029.74	2026.83	2029.23	7292	0	5
2024.01.09	21:00:00	2029.23	2030.08	2027.83	2028.88	3862	0	5
2024.01.09	22:00:00	2028.90	2031.14	2028.35	2028.43	3542	0	5
2024.01.09	23:00:00	2028.43	2030.32	2028.43	2030.21	1076	0	5
2024.01.10	01:00:00	2030.50	2031.21	2028.30	2030.75	2493	0	5
2024.01.10	02:00:00	2030.78	2031.20	2029.65	2030.24	2616	0	5
2024.01.10	03:00:00	2030.24	2032.47	2027.25	2031.82	6462	0	5
2024.01.10	04:00:00	2031.77	2032.88	2030.37	2031.90	3859	0	5
2024.01.10	05:00:00	2031.90	2031.99	2028.16	2028.93	3883	0	5
2024.01.10	06:00:00	2028.91	2030.68	2028.43	2029.83	2791	0	5
2024.01.10	07:00:00	2029.83	2030.19	2025.47	2026.61	4587	0	5
2024.01.10	08:00:00	2026.61	2027.01	2023.88	2024.60	4995	0	5
2024.01.10	09:00:00	2024.60	2031.67	2024.33	2030.95	7068	0	5
2024.01.10	10:00:00	2030.95	2036.02	2030.22	2035.32	9521	0	5
2024.01.10	11:00:00	2035.32	2036.20	2034.63	2035.74	6356	0	5
2024.01.10	12:00:00	2035.74	2040.32	2034.57	2034.83	5955	0	5
2024.01.10	13:00:00	2034.87	2035.32	2032.79	2034.10	4133	0	5
2024.01.10	14:00:00	2034.10	2035.66	2031.27	2031.51	5079	0	5
2024.01.10	15:00:00	2031.51	2034.08	2030.04	2030.31	10832	0	5
2024.01.10	16:00:00	2030.32	2033.65	2026.37	2027.44	13828	0	5
2024.01.10	17:00:00	2027.44	2029.80	2024.82	2027.87	14734	0	5
2024.01.10	18:00:00	2027.87	2028.58	2024.74	2027.09	9327	0	5
2024.01.10	19:00:00	2027.09	2027.80	2022.16	2024.07	7318	0	5
2024.01.10	20:00:00	2024.07	2024.52	2021.36	2023.72	7979	0	5
2024.01.10	21:00:00	2023.72	2024.55	2020.45	2024.06	4874	0	5
2024.01.10	22:00:00	2024.06	2025.07	2021.85	2023.55	6355	0	5
2024.01.10	23:00:00	2023.55	2024.48	2023.33	2024.34	1546	0	5
2024.01.11	01:00:00	2024.62	2027.93	2023.87	2026.79	2325	0	5
2024.01.11	02:00:00	2026.83	2028.46	2026.64	2027.82	2774	0	5
2024.01.11	03:00:00	2027.82	2030.40	2027.05	2029.71	5401	0	5
2024.01.11	04:00:00	2029.69	2031.98	2028.85	2029.71	4376	0	5
2024.01.11	05:00:00	2029.71	2031.07	2028.79	2030.91	3031	0	5
2024.01.11	06:00:00	2030.91	2032.26	2030.87	2032.08	1973	0	5
2024.01.11	07:00:00	2032.11	2034.67	2031.14	2032.95	4127	0	5
2024.01.11	08:00:00	2032.95	2035.13	2032.16	2034.03	4535	0	5
2024.01.11	09:00:00	2034.02	2035.65	2033.64	2033.97	4785	0	5
2024.01.11	10:00:00	2033.97	2034.13	2030.42	2030.87	6659	0	5
2024.01.11	11:00:00	2030.87	2032.45	2030.17	2031.34	4751	0	5
2024.01.11	12:00:00	2031.34	2032.76	2030.51	2032.09	4280	0	5
2024.01.11	13:00:00	2032.09	2034.42	2031.40	2034.34	4354	0	5
2024.01.11	14:00:00	2034.41	2035.06	2031.67	2032.45	5718	0	5
2024.01.11	15:00:00	2032.45	2039.67	2025.06	2029.44	25718	0	5
2024.01.11	16:00:00	2029.44	2034.94	2024.96	2029.78	31361	0	5
2024.01.11	17:00:00	2029.76	2033.07	2025.15	2029.02	27479	0	5
2024.01.11	18:00:00	2029.02	2029.68	2013.60	2016.69	22530	0	5
2024.01.11	19:00:00	2016.69	2018.49	2013.31	2014.41	12587	0	5
2024.01.11	20:00:00	2014.41	2017.06	2013.87	2017.05	9798	0	5
2024.01.11	21:00:00	2017.05	2027.48	2017.05	2026.52	9189	0	5
2024.01.11	22:00:00	2026.52	2028.59	2023.53	2027.54	7192	0	5
2024.01.11	23:00:00	2027.58	2029.71	2027.44	2028.63	2137	0	5
2024.01.12	01:00:00	2028.95	2035.54	2028.61	2035.28	4041	0	5
2024.01.12	02:00:00	2035.28	2035.36	2030.31	2031.09	5356	0	5
2024.01.12	03:00:00	2031.09	2034.77	2030.06	2033.83	8476	0	5
2024.01.12	04:00:00	2033.84	2035.29	2033.19	2033.99	5782	0	5
2024.01.12	05:00:00	2033.97	2035.57	2033.69	2033.91	4007	0	5
2024.01.12	06:00:00	2033.89	2035.00	2032.81	2034.71	3182	0	5
2024.01.12	07:00:00	2034.71	2037.11	2033.71	2035.98	4374	0	5
2024.01.12	08:00:00	2035.99	2036.80	2034.91	2035.23	3891	0	5
2024.01.12	09:00:00	2035.23	2039.35	2034.20	2037.60	6946	0	5
2024.01.12	10:00:00	2037.61	2039.79	2037.03	2038.72	7946	0	5
2024.01.12	11:00:00	2038.69	2040.09	2037.84	2038.12	5212	0	5
2024.01.12	12:00:00	2038.11	2046.15	2038.03	2045.92	6058	0	5
2024.01.12	13:00:00	2045.92	2047.39	2044.16	2045.44	7175	0	5
2024.01.12	14:00:00	2045.42	2053.76	2045.42	2047.83	10376	0	5
2024.01.12	15:00:00	2047.83	2056.64	2044.43	2056.19	24282	0	5
2024.01.12	16:00:00	2056.19	2062.23	2053.31	2055.98	24769	0	5
2024.01.12	17:00:00	2055.93	2060.11	2050.92	2053.64	21054	0	5
2024.01.12	18:00:00	2053.66	2055.57	2048.26	2048.30	16279	0	5
2024.01.12	19:00:00	2048.26	2048.59	2041.45	2043.92	13183	0	5
2024.01.12	20:00:00	2043.96	2048.68	2043.02	2047.53	8024	0	5
2024.01.12	21:00:00	2047.53	2049.18	2046.23	2047.36	4614	0	5
2024.01.12	22:00:00	2047.36	2047.64	2046.07	2047.55	3430	0	5
2024.01.12	23:00:00	2047.55	2049.20	2046.95	2048.73	2013	0	5
2024.01.15	01:00:00	2047.27	2048.70	2046.34	2047.62	2614	0	5
2024.01.15	02:00:00	2047.63	2048.49	2045.82	2047.94	3267	0	5
2024.01.15	03:00:00	2047.94	2051.39	2047.45	2051.04	5820	0	5
2024.01.15	04:00:00	2051.04	2056.46	2049.87	2056.40	6439	0	5
2024.01.15	05:00:00	2056.41	2058.11	2055.54	2057.36	4897	0	5
2024.01.15	06:00:00	2057.39	2057.58	2053.55	2054.34	2917	0	5
2024.01.15	07:00:00	2054.34	2055.59	2052.99	2055.12	2977	0	5
2024.01.15	08:00:00	2055.12	2057.01	2053.85	2055.37	4036	0	5
2024.01.15	09:00:00	2055.37	2055.94	2052.85	2054.27	5803	0	5
2024.01.15	10:00:00	2054.26	2058.63	2053.85	2056.69	5638	0	5
2024.01.15	11:00:00	2056.64	2057.05	2052.93	2055.02	4890	0	5
2024.01.15	12:00:00	2055.02	2055.14	2052.08	2053.01	4491	0	5
2024.01.15	13:00:00	2053.09	2053.76	2051.54	2053.31	3633	0	5
2024.01.15	14:00:00	2053.33	2053.68	2051.37	2052.72	4071	0	5
2024.01.15	15:00:00	2052.72	2054.28	2052.12	2054.20	4753	0	5
2024.01.15	16:00:00	2054.25	2054.43	2051.65	2052.16	5268	0	5
2024.01.15	17:00:00	2052.16	2053.87	2049.26	2053.28	6079	0	5
2024.01.15	18:00:00	2053.28	2054.97	2053.22	2054.06	3852	0	5
